customer_id,name,email,phone_number,address
C60,Mindy Martinez,williamsstephen@example.org,483-496-2319x86571,"2368 Pittman Road
Gwendolynside, WA 35802"
C61,Randy Odonnell,gilbertbrendan@example.net,451.332.8830,"804 Regina Turnpike
Jenkinsfort, MO 67971"
C62,Tamara Perry,lori28@example.net,001-788-717-9581,"779 Lara Turnpike
Joseton, MO 72559"
C63,Heather Mendoza,gcruz@example.net,(443)218-7829x5121,"2617 Hamilton Light
Michaelburgh, NV 45898"
C64,Jeremy Roberts,moorelouis@example.com,+1-325-395-8652x13165,"8423 Banks Center Suite 222
Stoneton, NV 14107"
C65,Peter Cox,wardaimee@example.net,987.244.7189,"58133 Castillo Station
Smithburgh, PW 96348"
C66,Jeffrey Taylor,cesarrojas@example.net,830-209-5728x82699,"468 Maria Mountain Apt. 204
Greenville, NY 04941"
C67,Rachel Hubbard,davisdanny@example.org,+1-840-229-8689x842,"27899 Dominique Place
Harmontown, MT 15217"
C68,Regina Benton,areynolds@example.org,3336235620,"6730 Skinner Branch Apt. 548
North Cody, LA 56280"
C69,Christopher Schwartz,gabrielle03@example.com,001-520-375-5936,"716 Alexander Common Apt. 306
Whitetown, AK 70209"
C70,Marc Gonzales,davidharmon@example.com,246-713-3609,"4452 Crawford Trace
West Phillip, WA 71207"
C71,Amber Armstrong,kevinthompson@example.net,762-921-4469x511,"108 Pamela Islands Apt. 079
Coreymouth, ME 92725"
C72,David Martinez,deborah70@example.com,600.723.9924,"0590 Carrie Mills
New Anthonyport, NE 87036"
C73,Richard Berg,daniel40@example.com,363-972-6313x555,"787 Oconnor Roads Suite 068
West Julieside, MA 92505"
C74,Donald Ortega,zmartin@example.org,+1-530-947-8538x532,"873 Ramirez Hill
West Ryan, NJ 14004"
C75,Matthew Bradley,pateldawn@example.net,218.530.7992x415,"0377 Wade Ports
Lake Dana, MT 15476"
C76,Colleen King,ngardner@example.com,613.509.0573x15782,"USCGC Smith
FPO AP 11938"
C77,Carlos Smith,stephanie84@example.com,962-985-9760,"0120 Jonathan Summit Apt. 516
New Andrew, ND 09624"
C78,Elizabeth Ortiz,steeledavid@example.com,607.733.7359x0248,"Unit 0648 Box 8776
DPO AE 63590"
C79,Sara Martinez,cynthiacooke@example.com,(548)793-4823x956,"46946 Steven Ports Suite 188
Patelhaven, MN 75295"
C80,Mario Vega,sandra40@example.org,5029774741,"61236 Sanford Branch Apt. 159
Angelachester, NH 27734"
C81,Raymond Weiss,ericberry@example.net,924-541-4360x9811,"25892 Jonathan Landing Suite 635
West Johnchester, FL 08299"
C82,Thomas Williams,mshort@example.net,+1-456-730-8465x69193,"Unit 3411 Box 7594
DPO AE 91810"
C83,Colton Calderon,mary09@example.net,(820)438-8446,"265 Brent Plaza
South Randy, NV 36429"
C84,Dr. Julie Brown,garciasean@example.org,(228)390-7232x888,"56284 Patricia Corners Suite 002
South Josephberg, ME 07463"
C85,Amanda Martinez,kirkkevin@example.org,(826)306-2582x1920,"651 Clark Glen Suite 921
Port Tyler, OK 32323"
C86,Melissa Young,weaverjennifer@example.net,001-656-366-9926x6833,"39051 Robin Run Suite 681
Lake Timothyville, MN 23879"
C87,Rebecca Mitchell,angelarice@example.org,+1-541-360-9251x4495,"6693 Owens Crest
Paulstad, MP 29396"
C88,Jennifer Adams,gcarter@example.net,613-577-5980x45796,"416 Cabrera Mills
Amandaberg, IA 20808"
C89,Lauren Miller,inorman@example.org,440.393.9494x5857,"8067 James Canyon
West Sabrinaborough, MN 33780"
C90,Jody Harris,nicholas91@example.net,(453)763-7491x1180,"997 Nelson Harbor Suite 645
Washingtonbury, AL 59645"
C91,Jeffrey Sanford,fuentesshawn@example.com,289-805-4891x58326,"210 Kathy Springs
West Douglas, MO 08774"
C92,Robert Barnett,ftaylor@example.com,2902901632,"89705 Johnson Turnpike Apt. 306
Whiteborough, ID 47214"
C93,Christopher Lewis,kayla71@example.com,663-488-0654x1733,"106 Angela Stream Apt. 786
Jeremymouth, IN 66850"
C94,Frederick Ramos,qphelps@example.com,537.542.3478,"0215 Wood Ports
New Jeremy, FM 44999"
C95,Michael Harrison,wrobertson@example.net,346.323.0432,"7085 Moore Ways
East Joseph, WV 84113"
C96,Kevin Reyes,heatherevans@example.org,5365385646,"603 Calhoun Shores Suite 371
North Christopherborough, MS 55430"
C97,Edward Reyes,velasquezmeghan@example.org,7726626124,"31055 Pearson Mountain
New Williamville, MS 63666"
C98,Charles Silva,sarah34@example.net,001-483-842-4083x3318,"3753 Dawn Point Suite 044
Gutierrezview, KY 64111"
C99,Richard Robinson,michaellowery@example.org,001-756-624-8739,"83223 Brittany Plaza
West Linda, AR 81318"
C100,Marvin Jones,jessica79@example.org,001-230-962-8369x89515,"56845 Kelly Crossing Suite 451
East Justin, VT 14606"
