CitizenID,Name,Age,AddressID,TaxID
200077773,George Fernandez,65,A302,T050
132558641,David Taylor,24,A160,T934
469566557,Mrs. Jennifer Dean,28,A954,T621
875344984,Katherine Wagner,34,A985,T909
107472265,Jacob Romero,46,A161,T926
578733284,Patrick Montes,33,A914,T879
955541554,Abigail Anderson,32,A030,T241
399449373,Hailey Allen,28,A641,T071
219324386,Alvin Roth,22,A952,T578
491863424,Samantha Cook,35,A694,T032
265133502,Stacey Bell,43,A017,T749
584415352,Allen Hernandez,68,A322,T253
256433701,Barry Gibson,77,A433,T793
546821860,Emily Brown,61,A149,T855
406328947,Lydia Dillon,32,A731,T135
115043345,Sonya Mahoney,21,A924,T068
568083565,Joshua Rodriguez,20,A324,T741
467945036,Lauren Hogan,59,A484,T181
470471630,Timothy Gentry,52,A568,T027
967126689,Joshua Lawson,64,A996,T582
393299282,Megan Adams,62,A981,T711
953847459,Michelle Johnson,43,A347,T156
328422632,Connie Roberson,48,A215,T593
332254014,Rhonda Vasquez,40,A454,T173
486842013,Jessica Tucker,33,A267,T311
169616527,Frank Smith,40,A953,T703
844403713,Leah Allen,40,A099,T383
415560979,Melanie Stanton,67,A729,T159
435887469,Thomas Jones,49,A170,T852
109675492,Steven Lowe,79,A750,T851
681942687,Michael Davis,24,A721,T464
161817940,James Williams,64,A211,T891
204609536,Andrew Pearson,39,A830,T520
793946942,Jeffery Cohen,33,A571,T023
299241625,Jennifer Novak,20,A806,T303
442689728,Matthew Brown,61,A044,T360
859200688,Jill Hubbard,29,A309,T984
795270986,Maurice Martin,74,A825,T205
260325768,Katie Cox,79,A274,T367
597415880,Richard Martinez MD,75,A442,T992
214465539,Roberto Campbell,47,A205,T662
444357296,Hector Brown,31,A959,T407
987729402,Peggy Munoz,21,A723,T414
865676097,Johnny Cowan,40,A336,T948
863395387,Robert Mcguire,20,A287,T269
539366447,Thomas Ramsey,41,A026,T827
352289182,Ralph Morrison,41,A855,T361
237868979,Angela Garcia,75,A939,T131
918692960,Angela Robertson,58,A041,T855
534382625,Jessica Thomas,52,A530,T744
195608666,Theresa Wolfe,27,A852,T741
926044760,Miss Cheryl Patterson,34,A217,T153
872997937,David Brewer,44,A212,T055
371738295,April Larson,62,A991,T051
999548789,Thomas Mccarty,35,A873,T536
816218964,Matthew Mcconnell,30,A070,T044
111712964,Ashley Smith,71,A206,T643
366197601,Thomas Garner,21,A253,T290
943921279,Rhonda Alexander,51,A220,T687
468961187,Heather Welch,68,A503,T795
598757027,Ashley Robinson,21,A084,T565
483077803,Andre Ellis,62,A132,T332
696396447,Thomas Rodriguez,19,A945,T277
179262175,Wanda Carroll,71,A330,T624
812368117,Janet Barker,40,A521,T246
584719479,Anthony Cortez,47,A862,T964
489900763,Stacie Pierce,50,A010,T269
365120065,Benjamin Smith,27,A716,T560
492045055,Bradley Brown,53,A483,T471
701898264,Timothy Roberts,57,A638,T225
464674514,Renee Dorsey,32,A677,T675
947621865,Melissa Johnson,53,A652,T127
280718810,Marvin Brewer,42,A248,T738
267179900,Steven Dunlap,79,A228,T071
560171741,Marissa Kerr,66,A457,T147
119184292,Thomas Small,46,A162,T976
216511567,Jeffrey Wood,79,A295,T613
665792093,Cheryl Welch,31,A921,T939
102328515,Travis Sherman,36,A072,T799
920981655,Vanessa Perkins,45,A841,T529
819657594,Sara Taylor,55,A944,T845
181050974,Mrs. Christina Singh,33,A817,T304
985872300,Maria Zimmerman,52,A531,T142
484366780,Susan Johnson,42,A051,T915
824303088,Lisa Dunn,18,A585,T096
343628255,Darin Cook,58,A237,T431
206376704,Elizabeth Morris,66,A508,T262
137687952,Tara David,72,A302,T740
660647662,Michael Gibson,64,A869,T915
137011847,Debra Jenkins,49,A757,T603
892976007,Dennis Bell,79,A733,T313
849143413,Stephanie Shaw,45,A591,T643
194579546,Mitchell Edwards,55,A564,T112
608244740,Shannon King,73,A587,T462
817048142,Elizabeth Lloyd,30,A116,T014
399034502,Selena Perez,68,A778,T163
222741577,Kaitlyn Glenn,46,A309,T787
502065748,Casey Bryan,34,A272,T896
121524050,Rickey Porter,78,A713,T413
350229254,Danielle Barrett,18,A605,T432
609431410,William Smith,32,A559,T999
105642032,Leah Arnold,19,A687,T383
397354478,Sandra Murray,24,A602,T963
790735779,Shawn Williams,62,A169,T106
592924251,Marcus Griffith,56,A275,T856
851076003,Erica Hoffman DDS,22,A529,T781
428952222,Mariah Gomez MD,78,A148,T333
723223581,Timothy Peck,48,A483,T838
236345904,Matthew Hutchinson,69,A694,T442
110064401,Amanda Bullock,41,A261,T405
654623183,Dylan Cruz,49,A243,T307
341290009,Jennifer Johnson,23,A076,T006
570945397,Megan Vasquez,76,A120,T189
993137769,Mrs. Debra Walker,71,A491,T620
205632392,Dr. David Levy,18,A870,T915
496170603,Sara Robles,72,A407,T904
516302502,Edward Cross,72,A800,T945
323038934,Emily Burton DDS,59,A806,T859
353946103,James Thomas,23,A093,T426
864073641,Jason Rhodes,18,A153,T510
154323877,Andrew Smith,45,A181,T110
106706578,Virginia Singh,74,A150,T500
443793750,Cheryl Hughes,65,A550,T712
644893248,Marcus Lewis,64,A900,T759
595816120,Lauren Banks,70,A519,T279
107202459,Carol Allen,23,A928,T693
963156678,Becky Craig,36,A046,T718
261580803,Dylan Chavez,43,A234,T524
609888833,Lisa Martinez,73,A157,T952
370701902,Angela Alvarez,77,A375,T110
651387095,Taylor Howard,42,A662,T472
476462680,Christian Ryan,47,A581,T636
905336467,Ashley Walton,50,A414,T682
874987195,Bryan Rollins,66,A957,T489
308922733,Timothy Mayer,41,A805,T034
875420845,Karen Mosley,50,A136,T823
437277221,Marissa Calhoun,66,A690,T962
629965702,Angelica Gomez,27,A481,T012
989222176,Michelle Stanley,60,A492,T002
145064479,Deanna Parsons,45,A725,T405
835253431,Eric Bennett,79,A656,T725
714436515,Joseph White,69,A329,T386
255590586,Sarah Jensen,52,A077,T153
601523588,Jessica Carson,18,A609,T853
331846046,Cynthia Smith,69,A377,T581
381974871,Michelle Doyle,29,A205,T613
229409977,Loretta Mccoy,51,A500,T118
144379122,Travis Doyle,74,A033,T172
794631473,Jared Sullivan,44,A123,T697
543511276,Diane Jones,55,A247,T680
198850765,Jessica Martin,32,A982,T309
870470164,Jessica Johnson,39,A555,T022
965057808,Brian Brown,37,A070,T155
927732357,Alexandra Fuller,38,A549,T382
363032635,Anthony Ramsey,62,A327,T255
554371698,John Christian,29,A755,T594
657667281,Jerry Bowman,43,A815,T757
555636163,Rachel Cunningham,74,A565,T465
708005890,Kenneth Rivera,61,A160,T645
470459941,Antonio Mcgrath,51,A343,T897
419133664,Christopher Ballard,47,A285,T703
759782809,Sean Harris,54,A004,T543
586633133,Sandra Torres,40,A992,T827
226731962,William Bruce,32,A156,T816
594077087,Cathy Matthews,66,A316,T903
943755027,Tyler White,22,A634,T913
734910052,Melissa Perez,66,A307,T885
378525080,Evelyn Flowers,18,A472,T904
426890965,Timothy Patel,77,A240,T187
319658561,Dylan Reid,70,A650,T624
392687373,Lisa Griffin,30,A882,T138
387470529,Raven Hudson,69,A661,T207
594888933,Beverly Walker,74,A482,T567
972735170,Donald Diaz DDS,25,A187,T685
861858997,Robert Vaughn,37,A599,T147
295083483,Chelsea Sanchez,66,A251,T445
226842117,Brittany Kim,67,A545,T740
187624894,Anna Friedman,68,A429,T656
534375489,Elizabeth Jones,57,A376,T864
194622709,Christian Hudson,74,A250,T837
506900135,James Gonzales,52,A116,T221
777790581,Matthew Park,63,A945,T149
421730803,Kyle Wu,25,A962,T981
492681250,Stephen Moore,35,A746,T421
357049929,Mr. Eugene Diaz,44,A906,T949
244282202,Michael Stanley,50,A891,T372
970004859,Sandra Rogers,64,A487,T551
216594054,Christopher Jackson,65,A245,T266
298833452,Crystal Allen,39,A348,T271
469430125,Dwayne Brown,34,A982,T756
335561625,Catherine Clark,24,A460,T576
887693669,Manuel Anderson,50,A706,T567
424171530,Carol Peters,57,A987,T326
938755516,Ryan Lopez,67,A846,T102
502265707,Rebecca Cox,47,A973,T595
602000403,Brian Thomas,63,A517,T429
654469377,John Barrera,35,A378,T197
419300957,April Rice,58,A538,T985
965127866,Breanna Ellis,21,A724,T386
569066267,Samantha Gordon,69,A761,T515
560623833,Denise Nixon,34,A306,T390
232750869,Cristian Harris,27,A399,T245
355719797,Randy Hanson,67,A858,T129
625924016,Ronald Neal,20,A389,T763
525931920,Rachel Tucker,27,A208,T784
946425182,Mackenzie Stokes,45,A110,T630
691412673,Katherine Bell,32,A131,T028
540616702,Kayla Howell,72,A604,T113
755397373,Deanna Lawson,71,A198,T412
730963721,Dennis Walker,48,A043,T956
961234743,Scott Kirby,21,A579,T916
885652879,Kyle Harrington,77,A057,T965
198945370,Jessica Allen,25,A404,T902
892238959,Sarah Martin,36,A242,T171
567359903,Melissa Brewer DVM,74,A038,T701
674989256,Joseph Wright,62,A549,T461
260811812,Lindsey Murphy,44,A932,T820
619469493,Ryan Bryan,28,A839,T807
132796812,Hannah Patel,45,A1000,T489
618365556,Donna Wagner,71,A105,T652
881747487,James Nolan,33,A534,T317
292268085,Jennifer Jackson,33,A128,T594
549838358,Pamela Watts,75,A766,T031
180336106,Rodney Hardy,33,A198,T569
198081540,Rachel Cooper,34,A436,T709
676544681,James White,55,A565,T826
345417692,Wendy Carpenter,67,A444,T981
338836574,Brandon Watson,70,A542,T527
868845536,Amanda Floyd,23,A290,T565
439081739,Vanessa Marquez,62,A312,T624
799399066,Joshua Reynolds,31,A545,T470
904839743,Mark Blair,31,A628,T940
927191274,Robert Murray,77,A140,T791
754314578,Lori Flores MD,34,A887,T003
227148764,Ronald Shannon,68,A917,T331
948365199,Susan Mendoza,53,A597,T113
436353352,Morgan Hudson,20,A369,T762
585256087,Adrian Stone,72,A098,T581
827711562,Beth Jones,25,A501,T447
580567682,Darin Robinson,21,A982,T353
669078774,Kim Fields,66,A859,T420
342303699,Edward Lamb,60,A615,T394
172868193,Lee Brennan,36,A525,T743
147742405,Robert Mendez,26,A151,T601
962972103,Cynthia Russell,77,A917,T959
929643985,Abigail Ellis,67,A609,T1000
253120361,Logan Brewer,69,A936,T914
159571857,Barbara Graves,64,A919,T577
638979824,Adam Johnson,75,A548,T640
407151679,Amanda Sloan,46,A184,T747
958652199,Heather Delgado,59,A109,T086
411312634,Virginia Winters,79,A438,T208
838304672,Carrie Carter,26,A326,T128
371759671,Roy Guzman,31,A812,T139
244498979,Derrick Davenport,76,A230,T980
891471767,Michael Daniel,24,A896,T071
441766796,Tyler Silva,74,A157,T211
332615783,Steven Parks,58,A061,T359
145409659,Danielle Suarez,20,A870,T985
350169437,Cynthia Brewer,54,A510,T651
621223664,Levi Molina,33,A290,T450
218880710,Brandy Ayers,39,A833,T443
274505987,Teresa Olson,41,A628,T123
492935201,Peter Carpenter,38,A822,T268
204326721,Joshua Gray,37,A755,T619
595950712,Stephanie Lee,30,A436,T774
618359781,Patricia Patterson,74,A627,T401
865891428,Brittany Norris,41,A289,T910
621281072,Rachael Hansen,72,A104,T733
152280305,Nicole Thomas,37,A719,T486
583676012,Mary Rivera,59,A917,T265
905428702,Christopher Adams,18,A635,T167
321257470,Patrick Alvarez,55,A981,T719
841537051,Guy Rose,45,A449,T307
766653801,Jeffrey Ramirez,69,A987,T110
255371479,Christina Herring,68,A420,T899
486084632,Lauren Serrano,22,A589,T609
294482326,Lauren Berry,79,A586,T991
873126163,Daniel Robinson,79,A361,T393
932079142,Stephanie Holmes,21,A843,T599
300957402,Meghan Oneal,22,A702,T203
447542582,Tina Murray,40,A076,T297
718095320,Kyle Williams,19,A385,T938
112192950,Betty Hodges,73,A134,T287
373637760,Cesar Moore,42,A591,T566
322186423,Edwin Burton,60,A409,T406
793207739,Amanda Church,54,A225,T801
798798661,Darrell Hicks,37,A091,T402
707885436,Lisa Wagner,26,A241,T950
887095077,Jessica Campbell,36,A878,T346
794897743,Norman Tyler,28,A783,T401
804221692,Samantha Park,68,A499,T942
330967940,Jessica Smith,47,A026,T136
772504628,Natalie Moreno,30,A320,T738
195255914,Michele Valentine,74,A479,T646
627333316,Jacob Moody,75,A574,T704
765798332,Nicole Hernandez,74,A415,T668
536884478,Maria Rojas,48,A674,T975
985220615,Michael Burton,72,A070,T352
908860796,David Snow,76,A421,T951
240492192,Kevin Williams,47,A709,T434
216564725,Lisa Fry,58,A204,T412
416047948,Jose Dickson,73,A775,T166
686410615,Amanda Chavez,58,A674,T916
405543278,William Adams,72,A760,T259
729460844,Stephen Anderson,38,A203,T166
810859370,Aaron Jackson,58,A066,T664
145605528,Valerie Nixon,18,A080,T896
856587328,Christopher Jones,24,A478,T164
742538821,Christina Roth,23,A210,T035
857203548,Barry Bell,58,A025,T821
736298596,Travis Martinez,36,A707,T793
126598308,Kyle Miller,61,A437,T298
860341779,Michael Barnett,69,A729,T071
623667938,Vanessa Mitchell,40,A473,T816
533455583,Shelby Horton,28,A347,T396
368920967,Timothy Nguyen,75,A919,T903
193997086,Scott Hernandez,49,A366,T461
602132219,Brent Mayer,52,A979,T273
736029193,Rebecca Bolton,28,A328,T667
502417093,Jade Hall,72,A555,T862
710520459,Jennifer Thompson,67,A983,T767
978878862,Kyle Richardson,74,A693,T691
413334352,Benjamin Butler,74,A610,T248
728051374,Felicia Rios,68,A527,T179
155046090,Jonathan Johnson,76,A640,T406
412843028,Emma Horn,70,A179,T511
613366502,Heidi Hardy,27,A480,T817
859893465,Monica Fritz,58,A391,T154
414383219,Joshua Nielsen,30,A076,T729
220534987,Samuel Prince,28,A752,T629
523733418,Eric Johnson,24,A227,T717
225019859,Samantha Buckley,25,A350,T778
446334418,Tyler Gregory,58,A624,T706
841799332,Connor Harris,80,A186,T622
643779469,April Oliver,74,A147,T809
377297140,Bonnie White,22,A454,T849
665444532,Julie Andrews,37,A114,T797
962802360,Victoria Miller,27,A068,T942
558538259,Joel Johnson,21,A027,T143
939225368,William Whitaker,72,A085,T451
546903958,William Williams,35,A418,T170
989399378,Laura Turner,34,A761,T878
111940090,Carlos Blanchard,68,A960,T994
668745415,Tina Smith,78,A748,T632
401596375,Nicole Armstrong,46,A530,T825
304843811,Juan Ochoa,64,A657,T091
403412832,David Jackson,57,A371,T532
277031542,Kevin Johnson,26,A931,T381
102645843,Wendy Villanueva,73,A120,T456
409133557,Amy Smith,75,A255,T624
114967755,Laura Stanton,30,A337,T880
957525457,Marvin Woodard,78,A312,T004
608458543,Bruce Anderson,23,A398,T412
761437614,Alyssa Romero,26,A340,T169
415361296,Tracie Sanchez,26,A137,T104
767960141,Jill Harvey MD,29,A701,T796
543612617,Mary Robinson,64,A683,T527
774436599,Kyle Craig,48,A510,T175
828081906,Timothy Cox,22,A982,T367
409495254,Matthew Tapia,19,A889,T413
184154561,Jorge Brown,29,A106,T031
904573112,Richard Williams Jr.,56,A961,T426
739679245,Anita Flores,44,A254,T676
321660543,Karen Webb,64,A898,T576
654169996,Jose Stewart,71,A571,T625
482440866,Frank Crawford,58,A426,T168
921035730,Christina Duran,26,A116,T884
475037097,Lindsay Jones,66,A283,T248
312761533,Nicole Kennedy,67,A933,T772
767868654,Donald Hicks,26,A840,T596
870647900,Jonathan Smith,52,A047,T722
299533970,Mary Rice,41,A769,T986
590717696,Taylor Pugh MD,35,A327,T168
502888320,Jeanne Foster,77,A327,T118
544800147,Joanna Kim,67,A504,T362
306495002,Dr. Sandra Wells,31,A504,T378
281685281,Angela Baker,37,A092,T518
923683805,Sheila Robbins,27,A710,T369
624727438,Kristin Meadows,80,A450,T921
767252988,Joseph Cooper,31,A372,T679
305609806,April Charles,41,A505,T095
582858052,Eduardo Holmes,31,A049,T923
965756641,Ashley Patton,22,A853,T996
517203259,Michael Sanchez,38,A356,T124
835037612,Christopher Day,57,A194,T143
256421107,Gregory Guzman,45,A319,T498
506670672,David Lucero,64,A314,T192
740761564,Scott Henry,38,A971,T480
306609178,Michelle Sanford,46,A738,T116
294882358,Stephanie Fields,77,A010,T324
435483745,Julie Flynn,28,A284,T755
954560811,Leonard Deleon,65,A203,T922
444980373,Garrett Howard,31,A722,T262
545562025,Daniel Frazier,30,A702,T511
800116563,Michael Simmons,70,A129,T107
559890600,Leslie Baker,67,A808,T204
395420388,Kayla Cochran,76,A989,T718
273921826,Gina Church,49,A731,T349
322908396,Nicholas Cantu,75,A172,T299
738071765,Lauren Smith,55,A429,T536
512383168,Alexis George,71,A293,T041
791492351,Matthew Christian,20,A769,T291
866893295,John Alvarez,22,A922,T533
594749014,Paul Burgess,39,A693,T940
497442495,Mr. Robert Lawson,76,A930,T969
117357058,Dana Cox,58,A560,T290
597958183,Alicia Espinoza MD,49,A439,T181
821195066,Kimberly Jones,64,A412,T361
406512514,Bradley Hall,33,A510,T143
520802199,Kathleen Mora,38,A599,T768
825491233,Sandra Summers,28,A450,T976
386594952,Sara Moreno,41,A516,T585
709940728,Ashley King,80,A392,T185
352436597,Mr. Kenneth Gamble,77,A317,T207
181318181,Jennifer Sanchez,61,A412,T868
568209444,Dylan Hendrix,32,A948,T911
502437867,Angela Leonard,33,A985,T671
559481048,Angela Nelson,41,A392,T972
251710092,Tony Ortega,39,A007,T615
948734385,Jennifer Pruitt,40,A466,T557
779816396,Angel Durham,26,A140,T320
974862440,Mitchell Miller,48,A991,T716
867096360,Lindsey Williams,65,A051,T684
162670974,Nathan Love,18,A526,T746
268465296,Christopher Smith,30,A678,T652
622174799,Jennifer Lowe,47,A589,T353
515959428,Laurie Harper,33,A454,T542
786004424,Kevin Hart,42,A984,T743
127048342,Summer White,34,A044,T613
613665667,Barbara Baird,29,A301,T369
957505594,Anthony Smith,34,A466,T693
951006759,Dustin Haas,56,A982,T616
234476427,Patrick Scott,41,A426,T459
299438989,Kimberly Lyons,36,A789,T305
844662937,Brenda Gray,34,A899,T588
382032314,David Smith,61,A894,T284
483103070,Mr. Todd Fleming Jr.,29,A952,T857
612953677,Douglas Dunn,50,A486,T545
744499473,Maureen Parrish,37,A437,T464
212966624,Suzanne Holloway,73,A981,T383
207651684,Lisa Odonnell,70,A309,T655
778998233,Nicole Sheppard,36,A493,T650
685986290,Erica Glenn,79,A054,T776
778544423,Barbara Jones,32,A016,T711
397362546,Paul Taylor,53,A313,T861
587373261,Sara Murray,36,A622,T435
465609453,Christina Evans,55,A830,T999
360332097,Joshua Gonzalez,32,A728,T592
783891468,Jessica Adams,72,A593,T059
534266003,Kristi Hernandez DDS,55,A860,T144
837622734,Brian Reynolds,22,A609,T538
757532689,Rebecca Figueroa,62,A094,T387
726151661,David Meyer,50,A617,T639
789199054,Brett Gates,75,A382,T788
176792614,Candace Davis,22,A076,T921
674237198,Russell Ortiz,33,A852,T525
995039272,Erin Horton,61,A491,T093
144667694,Richard Henry,44,A257,T976
200450361,Joshua Myers,29,A730,T387
866172242,Jose Cooper,30,A302,T453
332868737,Mark Robinson,51,A191,T316
558105405,Patrick Olson,25,A102,T195
827025307,Brett Roberts,20,A926,T409
555775139,Beth Hatfield,80,A625,T310
455349601,Deborah Spencer,63,A187,T283
478230485,Angela Gallagher,78,A541,T391
594843296,Tiffany Black,54,A021,T189
230612491,Thomas Turner,18,A100,T427
453893536,Jennifer Spencer,75,A725,T882
516924290,Patricia Webb,23,A356,T284
416748819,Dennis Munoz,24,A349,T176
562376290,Todd Patrick,35,A891,T671
900388602,John Wolfe,46,A842,T018
732044873,Nicole Jackson,41,A423,T590
415189579,Marilyn Ford,69,A108,T387
815156580,Antonio Holt,60,A045,T118
743588250,Daniel Martinez,55,A744,T189
582060390,Allison Wright,60,A503,T006
582231259,Richard Jones,62,A238,T823
456053642,Karen Burnett,78,A525,T612
845179575,Tammy Hicks,22,A053,T525
868668386,Jessica Thornton,37,A437,T632
889907029,Paul Watkins,43,A237,T592
903694316,Renee Mathis,60,A635,T173
152718839,Timothy Perry,38,A512,T164
400333470,Gary Hanson,46,A985,T769
538474879,David Holloway,62,A054,T013
219810698,Edward Weaver,38,A350,T209
674016907,Warren Brown,50,A708,T432
943802988,Heather Howard MD,75,A186,T727
502677743,Paul Lewis,40,A977,T303
731752165,Ashley Hayes,24,A475,T171
921751693,Jennifer Robinson,19,A603,T343
709461040,Deborah Vaughn,22,A343,T378
871437589,Dale Lopez,25,A916,T1000
852879014,Patricia Shaw,75,A982,T541
929101227,Olivia Hickman,60,A721,T694
304348008,Mrs. Lydia Sullivan,67,A414,T733
589505834,Linda Mills,27,A791,T188
845810466,Tammy Parsons,63,A170,T836
354971314,Robert Horn,67,A042,T319
487345909,Zachary Parrish,58,A190,T149
789360498,Rachel Smith,31,A280,T050
566601166,Philip Gonzalez,56,A879,T397
137447991,Alicia Luna,69,A728,T673
956036489,Wesley Mahoney,34,A376,T803
399953089,Andrea Phillips,51,A955,T539
639544128,Pamela Franklin,30,A220,T835
561979722,Johnny Dillon,46,A761,T491
219450668,Hannah Wiley,29,A422,T944
188630393,Austin Daniel,20,A054,T878
932712473,Peter Jones,43,A066,T752
145013974,Jennifer Chavez,52,A348,T916
934513907,Kristina Smith,79,A628,T355
866045298,Veronica Zuniga,22,A128,T850
168516119,Steven Wilkins,43,A250,T751
751244189,Kimberly Smith,20,A130,T233
304162927,Angela Mendoza,54,A737,T227
494590078,Sandra Combs,60,A574,T141
536662938,John Graham,29,A853,T543
925273734,Jon Wright,73,A647,T979
625050704,Marcus Conrad,76,A264,T334
996792826,Luis Johnson,75,A168,T824
758881634,Tyler Decker,66,A358,T348
269396683,Amanda Taylor,47,A453,T266
311367781,Steven Wyatt,70,A054,T864
691427634,Garrett Mason,75,A478,T549
543562597,Thomas Smith,35,A126,T122
609759247,Brian Andrade,65,A082,T930
411412781,Linda Robinson,38,A306,T102
528411813,Christopher Stokes,33,A448,T336
548884078,Elizabeth Foley,67,A027,T256
953144178,Miss Alexandria Lee,52,A323,T605
654224669,Mary Smith,41,A711,T196
930905264,Craig Yates,22,A939,T872
610295634,Joshua Collier,52,A557,T690
746849598,Christine Hatfield,62,A217,T218
986143635,Susan Watts,72,A898,T568
998023749,Troy Smith,45,A456,T728
474822313,Joseph Nolan,80,A782,T184
437156892,Zachary Patterson,56,A410,T595
115595965,Joshua Hill,72,A796,T455
805987994,Dr. April Vazquez MD,50,A111,T487
946349963,Ryan Andrews,52,A747,T095
544981525,Daniel Noble,64,A510,T777
